title,href,quantity,rating,price,oldPrice,savingText,category_1,category_2,category_3,price per 100
Prix Garantie Pears,/en/food/fruit-vegetables/fruit/apples-pears/prix-garantie-pears/p/4361609,1500g,4.0,2.7,,,fruit-vegetables,fruit,apples-pears,0.18
Prix Garantie watermelon,/en/food/fruit-vegetables/fruit/kiwi-melons/prix-garantie-watermelon/p/6369711,5500 g,0.0,9.85,,,fruit-vegetables,fruit,kiwi-melons,0.18
Pro Montagna Erdbeeren,/en/food/fruit-vegetables/fruit/grapes-berries/berries/pro-montagna-erdbeeren/p/6220432,350g,4.0,4.95,,,fruit-vegetables,fruit,grapes-berries,1.41
Baby Potatoes,/en/food/fruit-vegetables/root-vegetables/potatoes/baby-potatoes/p/6377188,600g,3.5,1.95,,,fruit-vegetables,root-vegetables,potatoes,0.33
Betty Bossi Naturaplan Organic Cooked Beets,/en/food/fruit-vegetables/root-vegetables/beetroots/betty-bossi-naturaplan-organic-cooked-beets/p/5936551,500g,4.0,2.5,,,fruit-vegetables,root-vegetables,beetroots,0.5
Betty Bossi Naturaplan Organic Cooked Beet Salad,/en/food/fruit-vegetables/root-vegetables/beetroots/betty-bossi-naturaplan-organic-cooked-beet-salad/p/3388907,500g,4.5,2.4,,,fruit-vegetables,root-vegetables,beetroots,0.48
Betty Bossi Naturaplan Organic Red Root Vegetable Cubes,/en/food/fruit-vegetables/root-vegetables/beetroots/betty-bossi-naturaplan-organic-red-root-vegetable-cubes/p/4441686,400g,5.0,3.5,,,fruit-vegetables,root-vegetables,beetroots,0.88
Betty Bossi Naturaplan Organic Red Root Vegetable Sticks,/en/food/fruit-vegetables/root-vegetables/beetroots/betty-bossi-naturaplan-organic-red-root-vegetable-sticks/p/5610199,300g,4.5,2.8,,,fruit-vegetables,root-vegetables,beetroots,0.93
Bracher Emmental Red Beet Salad,/en/food/fruit-vegetables/root-vegetables/beetroots/bracher-emmental-red-beet-salad/p/3091412,500g,4.5,2.6,,,fruit-vegetables,root-vegetables,beetroots,0.52
Carrots,/en/food/fruit-vegetables/root-vegetables/carrots-parsnips/carrots/p/3091031,1000 g,4.0,2.4,,,fruit-vegetables,root-vegetables,carrots-parsnips,0.24
Carrots,/en/food/fruit-vegetables/root-vegetables/carrots-parsnips/carrots/p/6359605,600g,4.5,2.4,,,fruit-vegetables,root-vegetables,carrots-parsnips,0.4
Carrots ca. 500g,/en/food/fruit-vegetables/root-vegetables/carrots-parsnips/carrots-ca/p/3091029,500g,5.0,1.25,,,fruit-vegetables,root-vegetables,carrots-parsnips,0.25
Carrot Snacks,/en/food/fruit-vegetables/root-vegetables/carrots-parsnips/carrot-snacks/p/5670477,200g,4.5,3.5,,,fruit-vegetables,root-vegetables,carrots-parsnips,1.75
Celery ca. 500g,/en/food/fruit-vegetables/root-vegetables/celeriac-kohlrabi/celery-ca/p/3090928,500g,4.0,2.6,,,fruit-vegetables,root-vegetables,celeriac-kohlrabi,0.52
Fairtrade Sweet Potatoes ca. 500g,/en/food/fruit-vegetables/root-vegetables/potatoes/fairtrade-sweet-potatoes-ca/p/4922281,500g,5.0,2.5,,,fruit-vegetables,root-vegetables,potatoes,0.5
Grilling Potatoes,/en/food/fruit-vegetables/root-vegetables/potatoes/grilling-potatoes/p/6403512,900g,1.5,3.95,,,fruit-vegetables,root-vegetables,potatoes,0.44
Kartoffeln blau,/en/food/fruit-vegetables/root-vegetables/potatoes/kartoffeln-blau/p/7003235,2500 g,5.0,5.5,,,fruit-vegetables,root-vegetables,potatoes,0.22
Kohlrabi 1 Piece,/en/food/fruit-vegetables/root-vegetables/celeriac-kohlrabi/kohlrabi-1-piece/p/3090873,1PCE,4.5,1.9,,,fruit-vegetables,root-vegetables,celeriac-kohlrabi,1.9
Manioc ca. 1kg,/en/food/fruit-vegetables/root-vegetables/cassava/manioc-ca/p/3091191,1000 g,3.0,5.95,,,fruit-vegetables,root-vegetables,cassava,0.6
Mini Carrots,/en/food/fruit-vegetables/root-vegetables/carrots-parsnips/mini-carrots/p/3368021,200g,3.0,4.95,,,fruit-vegetables,root-vegetables,carrots-parsnips,2.48
Naturaplan Bio early potatoes,/en/food/fruit-vegetables/root-vegetables/potatoes/naturaplan-bio-early-potatoes/p/7016523,1000 g,0.0,3.95,,,fruit-vegetables,root-vegetables,potatoes,0.4
Naturaplan organic baby potatoes,/en/food/fruit-vegetables/root-vegetables/potatoes/naturaplan-organic-baby-potatoes/p/6377083,500g,3.5,1.95,2.6,25%,fruit-vegetables,root-vegetables,potatoes,0.39
Naturaplan Organic Campiuns Pro Specie Rara Parsnips ca. 600g,/en/food/fruit-vegetables/root-vegetables/carrots-parsnips/naturaplan-organic-campiuns-pro-specie-rara-parsnips-ca/p/3458845,600g,4.5,4.75,,,fruit-vegetables,root-vegetables,carrots-parsnips,0.79
Naturaplan Organic Carrots,/en/food/fruit-vegetables/root-vegetables/carrots-parsnips/naturaplan-organic-carrots/p/3353498,500g,4.5,2.95,,,fruit-vegetables,root-vegetables,carrots-parsnips,0.59
Naturaplan Organic Carrots,/en/food/fruit-vegetables/root-vegetables/carrots-parsnips/naturaplan-organic-carrots/p/3090244,1000 g,4.5,3.5,,,fruit-vegetables,root-vegetables,carrots-parsnips,0.35
Naturaplan Organic Celery ca. 500g,/en/food/fruit-vegetables/root-vegetables/celeriac-kohlrabi/naturaplan-organic-celery-ca/p/6447442,500g,3.5,4.0,,,fruit-vegetables,root-vegetables,celeriac-kohlrabi,0.8
Naturaplan Organic Celery Root ca. 400g,/en/food/fruit-vegetables/root-vegetables/celeriac-kohlrabi/naturaplan-organic-celery-root-ca/p/6315279,400g,4.5,2.4,,,fruit-vegetables,root-vegetables,celeriac-kohlrabi,0.6
Naturaplan Organic Kohlrabi 1 Piece,/en/food/fruit-vegetables/root-vegetables/celeriac-kohlrabi/naturaplan-organic-kohlrabi-1-piece/p/4826444,1PCE,4.5,2.95,,,fruit-vegetables,root-vegetables,celeriac-kohlrabi,2.95
Naturaplan Organic Pro Specie Rara Blaro Kohlrabi,/en/food/fruit-vegetables/root-vegetables/celeriac-kohlrabi/naturaplan-organic-pro-specie-rara-blaro-kohlrabi/p/4826243,300g,4.5,3.6,,,fruit-vegetables,root-vegetables,celeriac-kohlrabi,1.2
Naturaplan Organic Raw Red Beets ca. 1kg,/en/food/fruit-vegetables/root-vegetables/beetroots/naturaplan-organic-raw-red-beets-ca/p/4290439,1000 g,5.0,4.7,,,fruit-vegetables,root-vegetables,beetroots,0.47
Naturaplan Organic Waxy Potatoes (Green Bag),/en/food/fruit-vegetables/root-vegetables/potatoes/naturaplan-organic-waxy-potatoes-green-bag/p/3370304,1000 g,4.5,2.95,,,fruit-vegetables,root-vegetables,potatoes,0.3
New Potatoes,/en/food/fruit-vegetables/root-vegetables/potatoes/new-potatoes/p/3454148,1500 g,3.5,2.7,,,fruit-vegetables,root-vegetables,potatoes,0.18
New Potatoes 1kg,/en/food/fruit-vegetables/root-vegetables/potatoes/new-potatoes/p/3091453,1000 g,5.0,2.4,,,fruit-vegetables,root-vegetables,potatoes,0.24
New Potatoes Noirmoutier,/en/food/fruit-vegetables/root-vegetables/potatoes/new-potatoes-noirmoutier/p/6738781,500g,5.0,4.5,,,fruit-vegetables,root-vegetables,potatoes,0.9
Potatoes for baked potatoes,/en/food/fruit-vegetables/root-vegetables/potatoes/potatoes-for-baked-potatoes/p/7002874,2500 g,0.0,5.5,,,fruit-vegetables,root-vegetables,potatoes,0.22
Potatoes green line,/en/food/fruit-vegetables/root-vegetables/potatoes/potatoes-green-line/p/7002923,2500 g,0.0,4.6,,,fruit-vegetables,root-vegetables,potatoes,0.18
